dates,I
2021-05-17,0
2021-05-18,1
2021-05-19,0
2021-05-20,0
2021-05-21,0
2021-05-22,2
2021-05-23,0
2021-05-24,4
2021-05-25,6
2021-05-26,1
2021-05-27,9
2021-05-28,10
2021-05-29,11
2021-05-30,12
2021-05-31,12
2021-06-01,12
2021-06-02,10
2021-06-03,13
2021-06-04,6
2021-06-05,10
2021-06-06,4
2021-06-07,12
2021-06-08,7
2021-06-09,5
2021-06-10,6
2021-06-11,2
2021-06-12,3
2021-06-13,2
2021-06-14,0
2021-06-15,2
2021-06-16,2
2021-06-17,1
2021-06-18,2
